,raw_ingr,raw_words,processed,len_proc,replaced,count,id,name_normalizado,name,Nitrogen,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,Energy,Starch,Sucrose,Glucose (dextrose),Fructose,Lactose,Maltose,"Alcohol, ethyl",Specific Gravity,Acetic acid,Citric acid,Lactic acid,Malic acid,"Carbohydrate, by summation",Water,Sorbitol,Caffeine,Theobromine,"Sugars, Total NLEA","Carbohydrate, other",Galactose,Xylitol,"Fiber, total dietary",Ribose,"Fiber, soluble","Fiber, insoluble",Total fat (NLEA),Total sugar alcohols,"Calcium, Ca","Chlorine, Cl","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Sulfur, S","Zinc, Zn","Chromium, Cr","Cobalt, Co","Copper, Cu","Fluoride, F","Iodine, I","Manganese, Mn","Molybdenum, Mo","Selenium, Se","Vitamin A, IU",Retinol,"Vitamin A, RAE","Carotene, beta","Carotene, alpha",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),25-hydroxycholecalciferol,Vitamin D (D2 + D3),Phytoene,Phytofluene,Zeaxanthin,"Cryptoxanthin, beta",Lutein,Lycopene,Lutein + zeaxanthin,Vitamin E (label entry primarily),"Tocopherol, beta","Tocopherol, gamma","Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, gamma","Tocotrienol, delta","Boron, B","Nickel, Ni",Vitamin E,cis-beta-Carotene,cis-Lycopene,cis-Lutein/Zeaxanthin,"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,Biotin,"Folate, total",Vitamin B-12,"Choline, total",Inositol,Vitamin K (Menaquinone-4),Vitamin K (Dihydrophylloquinone),Vitamin K (phylloquinone),Folic acid,"Folate, food",5-methyl tetrahydrofolate (5-MTHF),"Folate, DFE",10-Formyl folic acid (10HCOFA),5-Formyltetrahydrofolic acid (5-HCOH4,"Choline, free","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from glycerophosphocholine",Betaine,"Choline, from sphingomyelin",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Cysteine,Glutamine,Taurine,"Sugars, added","Vitamin E, added","Vitamin B-12, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated",4:0,6:0,8:0,10:0,12:0,14:0,16:0,18:0,20:0,18:1,18:2,18:3,20:4,22:6 n-3 (DHA),22:0,14:1,16:1,18:4,20:1,20:5 n-3 (EPA),22:1,22:5 n-3 (DPA),14:1 t,Phytosterols,Stigmasterol,Campesterol,Brassicasterol,Beta-sitosterol,Campestanol,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated",Beta-sitostanol,Delta-5-avenasterol,"Phytosterols, other",15:0,17:0,24:0,16:1 t,18:1 t,22:1 t,18:2 t not further defined,18:2 i,"18:2 t,t",18:2 CLAs,24:1 c,"20:2 n-6 c,c",16:1 c,18:1 c,"18:2 n-6 c,c",22:1 c,"18:3 n-6 c,c,c",17:1,20:3,"Fatty acids, total trans-monoenoic","Fatty acids, total trans-dienoic","Fatty acids, total trans-polyenoic",13:0,15:1,22:2,11:0,Epigallocatechin-3-gallate,Inulin,"18:3 n-3 c,c,c (ALA)",20:3 n-3,20:3 n-6,20:4 n-6,18:3i,21:5,22:4,18:1-11 t (18:1t n-7),20:3 n-9,"Sugars, total including NLEA",5:0,7:0,9:0,21:0,23:0,12:1,14:1 c,17:1 c,20:1 c,20:1 t,22:1 n-9,22:1 n-11,18:2 c,18:3 c,18:3 t,20:3 c,22:3,20:4 c,20:5 c,22:5 c,22:6 c,20:2 c,trans-beta-Carotene,trans-Lycopene,"Cryptoxanthin, alpha",Total dietary fiber (AOAC 2011.25),id_join
2209,yogurt,1,yogurt,6,yogurt,745,7998,yogurt,"yogurt, greek, strawberry, nonfat",1.61,10.3,0.37,12.2,0.72,347.0,0.0,6.86,2.13,4.51,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,85.0,0.0,0.0,0.0,11.5,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.17,0.0,0.111,0.0,0.0001799999999999,0.0112,0.136,0.151,0.037,0.0,0.00053,0.0,0.0,2.8e-05,0.0,0.0,4.5e-05,0.0,1.21e-05,0.0,1e-06,1e-06,2e-06,0.0,1e-05,40.0,0.0,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,2.2e-05,0.00034,0.00023,0.00039,6.4e-05,0.0,2e-05,7e-07,0.0150999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0016,0.0014,0.0083,0.0008,0.0016,0.133,0.41,0.527,1.03,0.833,0.293,0.083,0.513,0.51,0.667,0.363,0.293,0.35,0.737,2.19,0.19,1.17,0.5329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.108,0.0069999999999999,0.002,0.004,0.018,0.0069999999999999,0.014,0.045,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.021,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.039,0.029,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.015,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yogurt
2299,cottage cheese,2,cottage cheese,14,cottage cheese,1238,1838,cottage cheese,"vitamin b6, cottage cheese, 2% milkfat, store brand/other brand, sunnyside farms & daisy (ca2,nc) - nfy120bry",2.08,0.0,2.72,0.0,1.57,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0002099999999999,0.0108,0.175,0.159,0.42,0.0,0.0011899999999999,0.0,0.0,7.2e-05,0.0,0.0,1.5e-05,0.0,1.97e-05,0.0,7.5e-05,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0003,0.00015,0.00058,6.900000000000001e-05,0.0,1.3e-05,5.9e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.051,0.042,0.085,0.077,0.074,0.236,0.67,0.297,0.004,0.0,0.0,0.0,0.005,0.0,0.001,0.0,0.0,0.0,0.005,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.013,0.001,0.0069999999999999,0.064,0.0,0.016,0.0,0.0,0.01,0.0,0.001,0.029,0.511,0.065,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cottage cheese
2397,peanut butter,2,peanut butter,13,peanut butter,2225,5261,peanut butter,"vitamin b6, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite (co,ct) - nfy120cd5",4.32,22.5,52.7,22.3,3.12,2500.0,3.63,11.0,1.27,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.4,0.0,0.0,0.0,10.5,0.0,0.0,0.0,6.1,0.0,0.0,0.0,47.9,0.0,0.055,0.0,0.00208,0.182,0.357,0.592,0.482,0.0,0.00269,0.0,0.0,0.000484,0.0,0.0,0.00188,0.0,4.9000000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.00959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.00791,0.0009699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0002099999999999,0.0136999999999999,0.0012,0.00049,0.0,9.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.1,0.0,0.0,0.0,0.0,0.0,0.026,4.94,2.35,0.774,0.0,0.0,0.0,0.019,0.0,1.83,0.0,0.0,0.0,0.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,12.3,0.0,0.0,0.0,0.0069999999999999,0.051,0.7559999999999999,0.001,0.081,0.002,0.047,0.0,0.0,0.013,0.0,0.009,0.031,26.0,12.7,0.049,0.002,0.031,0.0,0.035,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.578,0.0,0.0,0.0,12.2,0.028,0.0,0.01,0.0,0.018,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,peanut butter
2677,whole wheat bread,3,whole wheat bread,17,whole wheat bread,447,7872,whole wheat bread,"vitamin b6, whole wheat bread, stroehmann dutch county (ny) - nfy1204me",2.17,0.0,4.0,0.0,2.68,0.0,0.0,0.2,2.2,3.7,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.249,0.0,0.00461,0.0871,0.248,0.308,0.545,0.0,0.00208,0.0,0.0,0.000261,0.0,0.0,0.00245,0.0,4.11e-05,0.0,0.0,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003599999999999,0.00125,0.0003599999999999,0.0016699999999999,0.00174,0.00183,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0002,0.00501,0.00068,0.00027,0.0,6e-05,0.0,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.0004,0.0029,0.0076,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.036,0.017,0.482,0.293,0.009,0.0,0.0,0.0,0.0069999999999999,0.0,0.009,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.005,0.0,0.053,0.0,0.0069999999999999,0.0,0.0,0.001,0.0,0.002,0.026,0.6509999999999999,1.61,0.001,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whole wheat bread
2748,sweet and sour soda,4,sweet and sour soda,19,sweet and sour soda,2,6952,sweet and sour pork,"vitamin k, sweet and sour pork, chinese restaurant (va2,wv) - nfy0903la",2.0,0.0,17.0,0.0,1.66,0.0,0.0,8.37,4.52,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.00842,0.0157,0.209,0.197,0.578,0.0,0.00178,0.0,0.0,7.9e-05,0.0,0.0,0.000375,0.0,1.45e-05,0.0,2e-06,0.0,0.000713,0.000382,0.00172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044,4.1e-05,0.0,8.999999999999999e-05,0.00545,0.00198,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040999999999999,0.0004199999999999,0.00015,0.0032,0.0005,0.0002,0.0,0.0,3e-07,0.0324,0.0,2.8e-06,0.0,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0008,0.0162,0.0073,0.0074,0.0045,0.109,0.4,0.39,0.75,0.71,0.22,0.11,0.36,0.28,0.43,0.61,0.31,0.53,0.83,2.0,0.48,0.47,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.006,0.001,0.01,0.0069999999999999,0.006,0.112,2.52,1.04,0.05,0.0,0.0,0.0,0.044,0.004,0.048,0.0,0.0,0.001,0.11,0.006,0.0,0.0069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.025,0.017,0.002,0.207,0.006,0.08,0.0,0.0,0.022,0.008,0.027,0.15,4.63,8.25,0.006,0.003,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,1.18,0.004,0.009,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sweet and sour soda
2774,fried rice,2,fried rice,10,fried rice,2,2931,fried rice,"vitamin d, chinese restaurant, fried rice (no meat) (ca2,nc) - nfy1209p6",0.83,0.0,6.44,0.0,1.49,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.00103,0.0138,0.063,0.102,0.509,0.0,0.00078,0.0,0.0,0.000118,0.0,0.0,0.000569,0.0,0.0,0.0,1e-05,0.0,0.000128,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0005,0.0023,0.0013,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.369,0.122,0.01,0.0,0.0,0.0,0.004,0.0,0.009,0.0,0.0,0.0,0.0069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.006,0.0,0.004,0.0,0.006,0.0,0.0,0.003,0.0,0.001,0.01,0.624,1.2,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fried rice
2972,beans,1,bean,4,bean,281,397,beans,"beans, snap, green, canned, regular pack, drained solids",0.2,31.6,2.01,4.11,1.05,86.0,43.9,0.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.0,0.0,0.0,1.29,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.326,0.0,0.00911,0.228,0.678,1.85,0.282,0.311,0.0044,0.0,9.3e-05,0.00162,0.0,0.0,0.00787,0.00179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171,0.000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beans
3228,chicken breasts,2,chicken breast,14,chicken breast,8695,1252,chicken breasts,"vitamin b6, chicken breasts, boneless, skinless, non-enhanced, braised (mi,ok) - 17a-02-06-b6",5.27,0.0,3.99,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.00054,0.0352,0.269,0.41,0.055,0.0,0.00102,0.0,0.0,5.3e-05,0.0,0.0,1.5e-05,0.0,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.00046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999999999999999e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000118,0.00022,0.0105,0.00164,0.000989,0.0,0.0,2.2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,0.017,0.0069999999999999,0.024,0.967,0.301,0.003,0.0,0.0,0.0,0.104,0.008,0.0069999999999999,0.0,0.0,0.0,0.023,0.005,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.0,0.0,0.018,0.0,0.005,0.0,0.0,0.003,0.0,0.013,0.217,1.4,0.75,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.004,0.026,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chicken breasts
3295,parmesan cheese,2,parmesan cheese,15,parmesan cheese,13005,5180,parmesan cheese,"vitamin k, parmesan cheese, grated, kraft 100% (mi,ok) - nfy120dst",5.55,0.0,35.2,0.0,8.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0011,0.0385,0.76,0.252,2.35,0.0,0.00539,0.0,0.0,5e-05,0.0,0.0,0.00016,0.0,4.13e-05,0.0,0.000255,0.0,0.0,0.0,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.00041,0.00014,0.0004799999999999,9.5e-05,0.0,6e-06,1.8e-06,0.0141,0.0,7.4e-06,0.0,1.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0049,0.0031,0.0002,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.6609999999999999,0.561,0.347,0.8240000000000001,0.947,3.09,8.57,3.28,0.067,0.0,0.0,0.0,0.056,0.002,0.014,0.0,0.0,0.002,0.06,0.012,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.197,0.015,0.103,0.8079999999999999,0.0,0.237,0.0,0.0,0.172,0.0,0.008,0.403,7.25,1.56,0.002,0.005,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.143,0.004,0.037,0.0,0.004,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parmesan cheese
3412,greek yogurt,2,greek yogurt,12,greek yogurt,416,3392,greek yogurt,"vitamin k, greek yogurt, fage plain nonfat (al1,ca1) - nfy09112s",1.91,0.0,0.61,0.0,0.78,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.00011,0.0115,0.142,0.145,0.039,0.0,0.0006,0.0,0.0,1.8e-05,0.0,0.0,1.5e-05,0.0,1.02e-05,0.0,2e-06,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0003,0.00023,0.00034,7.000000000000001e-05,0.0,0.0,9.7e-07,0.0150999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0016,0.0014,0.0083,0.0008,0.0016,0.14,0.46,0.54,1.06,0.85,0.3,0.09,0.53,0.52,0.69,0.37,0.3,0.36,0.76,2.27,0.2,1.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.003,0.005,0.016,0.008,0.019,0.059,0.024,0.002,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.05,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,greek yogurt
3572,white bread,2,white bread,11,white bread,893,7714,white bread,"vitamin b6, white bread, store brand, publix bread (fl1) - nfy0907hj",1.97,0.0,5.4,0.0,2.88,0.0,0.0,0.0,1.8,2.9,0.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.00436,0.0443,0.179,0.156,0.555,0.0,0.00122,0.0,0.0,0.000176,0.0,0.0,0.0012,0.0,3.3799999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081,0.0003599999999999,0.0056,0.00065,0.000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.003,0.009,0.0069999999999999,0.036,0.031,0.644,0.338,0.015,0.0,0.0,0.0,0.004,0.0,0.016,0.0,0.0,0.0,0.015,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0069999999999999,0.005,0.002,0.044,0.001,0.011,0.0,0.0,0.003,0.001,0.002,0.034,1.01,2.4,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,white bread
